,Name,POS,Age,HT,WT,Exp,College,team
141,Harvey Langi44,LB,27,"6' 2""",250 lbs,3,BYU,Jets
142,Frankie Luvu50,LB,23,"6' 3""",236 lbs,3,Washington State,Jets
143,C.J. Mosley57,LB,27,"6' 2""",250 lbs,7,Alabama,Jets
144,Patrick Onwuasor48,LB,27,"6' 0""",227 lbs,5,Portland State,Jets
145,Avery Williamson54,LB,28,"6' 1""",246 lbs,7,Kentucky,Jets
146,Blessuan Austin31,CB,23,"6' 1""",198 lbs,2,Rutgers,Jets
147,Kyron Brown35,CB,23,"6' 1""",195 lbs,2,Akron,Jets
148,Pierre Desir35,CB,29,"6' 1""",192 lbs,7,Lindenwood,Jets
149,Javelin Guidry28,CB,--,"5' 9""",193 lbs,R,Utah,Jets
150,Nate Hairston21,CB,25,"6' 0""",185 lbs,4,Temple,Jets
151,Bryce Hall34,CB,22,"6' 1""",200 lbs,R,Virginia,Jets
152,Lamar Jackson21,CB,--,"6' 3""",215 lbs,R,Nebraska,Jets
153,Arthur Maulet23,CB,26,"5' 10""",190 lbs,4,Memphis,Jets
154,Brian Poole34,CB,27,"5' 10""",213 lbs,5,Florida,Jets
155,Quincy Wilson31,CB,23,"6' 2""",193 lbs,4,Florida,Jets
156,Jamal Adams33,S,24,"6' 1""",213 lbs,4,LSU,Jets
157,Shyheim Carter,S,--,"6' 0""",191 lbs,R,Alabama,Jets
158,Anthony Cioffi37,S,25,"6' 0""",205 lbs,1,Rutgers,Jets
159,Ashtyn Davis27,S,23,"6' 1""",195 lbs,R,California,Jets
160,Matthias Farley41,S,27,"5' 11""",204 lbs,5,Notre Dame,Jets
161,Bennett Jackson39,S,28,"6' 0""",192 lbs,3,Notre Dame,Jets
162,Marcus Maye20,S,27,"6' 0""",207 lbs,4,Florida,Jets
163,Calais Campbell93,DE,33,"6' 8""",300 lbs,13,Miami (FL),Ravens
164,John Daka,DE,--,"6' 2""",227 lbs,R,James Madison,Ravens
165,Jihad Ward53,DE,25,"6' 5""",287 lbs,5,Illinois,Ravens
166,Marcus Willoughby,DE,--,"6' 3""",273 lbs,R,Elon,Ravens
167,Derek Wolfe95,DE,30,"6' 5""",285 lbs,9,Cincinnati,Ravens
168,Aaron Crawford,DT,--,"6' 2""",290 lbs,R,North Carolina,Ravens
169,Justin Ellis71,DT,29,"6' 2""",350 lbs,7,Louisiana Tech,Ravens
170,Daylon Mack94,DT,23,"6' 1""",340 lbs,2,Texas A&M,Ravens
171,Justin Madubuike53,DT,22,"6' 3""",300 lbs,R,Texas A&M,Ravens
172,Chauncey Rivers,DT,--,"6' 3""",275 lbs,R,Mississippi State,Ravens
173,Broderick Washington Jr.96,DT,--,"6' 3""",305 lbs,R,Texas Tech,Ravens
174,Brandon Williams98,DT,31,"6' 1""",336 lbs,8,Missouri Southern State,Ravens
175,Aaron Adeoye51,LB,26,"6' 6""",250 lbs,1,Southeast Missouri State,Ravens
176,Otaro Alaka50,LB,23,"6' 3""",239 lbs,2,Texas A&M,Ravens
177,Chris Board49,LB,24,"6' 2""",237 lbs,3,North Dakota State,Ravens
178,Tyus Bowser54,LB,24,"6' 3""",242 lbs,4,Houston,Ravens
179,Jaylon Ferguson45,LB,24,"6' 5""",270 lbs,2,Louisiana Tech,Ravens
180,L.J. Fort58,LB,30,"6' 0""",232 lbs,6,Northern Iowa,Ravens
181,Malik Harrison39,LB,22,"6' 3""",246 lbs,R,Ohio State,Ravens
182,Matthew Judon99,LB,27,"6' 3""",261 lbs,5,Grand Valley State,Ravens
183,Michael Onuoha96,LB,26,"6' 5""",259 lbs,1,Texas A&M-Commerce,Ravens
184,Patrick Queen48,LB,20,"6' 1""",227 lbs,R,LSU,Ravens
185,Jake Ryan47,LB,28,"6' 2""",240 lbs,5,Michigan,Ravens
186,Kristian Welch,LB,--,"6' 3""",239 lbs,R,Iowa,Ravens
187,Anthony Averett34,CB,25,"5' 11""",184 lbs,3,Alabama,Ravens
188,Terrell Bonds38,CB,23,--,--,1,Tennessee State,Ravens
189,Khalil Dorsey,CB,--,"5' 9""",170 lbs,R,Northern Arizona,Ravens
190,Marlon Humphrey44,CB,23,"6' 0""",197 lbs,4,Alabama,Ravens
191,Iman Marshall37,CB,23,"6' 1""",210 lbs,2,USC,Ravens
