,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD,PlayerID
319,14,39,45,253,6.5,5,17,0,18.1,0,0,282,16,Jamaal Williams30
320,14,12,21,219,18.3,1,49,3,15.6,0,0,92,8,Jake Kumerow16
321,16,15,19,156,10.4,1,25,2,9.8,0,0,86,8,Marcedes Lewis89
322,11,10,15,100,10.0,1,28,2,9.1,0,0,28,4,Robert Tonyan85
323,15,7,12,97,13.9,0,27,3,6.5,0,0,58,3,Danny Vitale45
324,4,2,4,11,5.5,0,6,0,2.8,0,0,11,1,Tyler Ervin32
325,6,1,2,1,1.0,0,1,0,0.2,0,0,3,0,Darrius Shepherd9
326,15,63,94,1130,17.9,6,66,20,75.3,4,3,308,41,Stefon Diggs14
327,14,53,63,519,9.8,0,31,7,37.1,1,0,597,26,Dalvin Cook33
328,10,30,48,418,13.9,6,44,8,41.8,0,0,123,18,Adam Thielen19
