,GP,TACKLES_SOLO,TACKLES_AST,TACKLES_TOT,SACKS,SACKS_SCKYDS,SACKS_TFL,INTERCEPTIONS_PD,INTERCEPTIONS_INT,INTERCEPTIONS_YDS,INTERCEPTIONS_LNG,INTERCEPTIONS_TD,FUMBLES_FF,FUMBLES_FR,FUMBLES_FTD,KB,PlayerID
219,16,60,51,111,1.0,0,5.0,5,1,34,34,0,1,2,0,0,Nick Vigil59
220,16,70,29,99,0.0,0,0.5,9,3,33,20,0,1,1,0,0,Jessie Bates III30
221,16,50,26,76,0.0,0,3.5,0,0,0,0,0,0,0,0,0,Germaine Pratt57
222,15,46,30,76,8.5,56,11.0,3,0,0,0,0,1,0,0,0,Sam Hubbard94
223,14,39,24,63,9.0,63,17.0,8,0,0,0,0,2,0,0,0,Carlos Dunlap96
224,16,18,29,47,4.5,23,6.5,0,0,0,0,0,0,0,0,0,Geno Atkins97
225,14,26,11,37,0.0,0,1.0,3,1,19,19,0,0,0,0,0,William Jackson III22
226,16,18,17,35,1.0,13,5.0,0,0,0,0,0,0,0,0,0,Andrew Billings99
227,16,14,13,27,0.0,0,4.0,0,0,0,0,0,1,0,0,0,Josh Tupou91
228,12,14,10,24,0.0,0,0.0,0,0,0,0,0,2,0,0,0,Brandon Wilson40
229,12,17,6,23,5.0,36,6.5,0,0,0,0,0,0,0,0,0,Carl Lawson58
230,16,17,5,22,0.0,0,1.0,1,0,0,0,0,0,0,0,0,Tony McRae29
231,16,13,2,15,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Clayton Fejedelem42
232,14,10,4,14,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Andrew Brown93
233,16,6,6,12,0.0,0,0.0,1,0,0,0,0,0,0,0,0,Jordan Evans50
234,11,4,4,8,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Renell Wren95
235,5,1,6,7,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Ryan Glasgow98
