PlayerID,Salary
Tremaine Edmunds49,1055434
Curtis Samuel10,1051698
Marcedes Lewis89,1050000
Damien Williams26,1050000
Derwin James33,1043134
Dalvin Cook33,1042576
Mackensie Alexander21,1038587
Marcus Williams43,1032313
Richie Incognito64,1030000
Adrian Peterson26,1030000
Clark Harris46,1030000
Andre Smith57,1030000
Andre Smith76,1030000
Andre Smith57,570000
Andre Smith76,570000
DeSean Jackson10,1030000
L.P. Ladouceur91,1030000
Don Muhlbach48,1030000
Matt Schaub8,1030000
J.J. Jansen44,1030000
Jaire Alexander23,1027761
Cody Whitehair65,1026077
L.J. Fort58,1025000
Sidney Jones22,1023190
Leighton Vander Esch55,1018535
Frank Ragnow77,1015461
Gerald Everett81,1014497
Billy Price53,1012386
Sean Davis21,1007314
Rashaan Evans54,1006236
Adam Shaheen87,1002322
Isaiah Wynn76,1000087
Tyler Eifert88,1000000
Malcom Brown90,1000000
Quincy Enunwa81,1000000
Landon Collins20,1000000
Stephon Gilmore24,1000000
Brandin Cooks12,1000000
Maurkice Pouncey53,1000000
Brent Qvale79,1000000
Pierre Desir35,1000000
T.J. Yeldon22,1000000
Mike Pennel64,1000000
Justin Houston50,1000000
Shaquil Barrett58,1000000
Nick O'Leary86,1000000
Za'Darius Smith55,1000000
Brandon Bolden38,1000000
Denzelle Good71,1000000
Morgan Cox46,1000000
Josh Lambo4,1000000
Nevin Lawson26,1000000
Brandon Graham55,1000000
Darryl Roberts27,1000000
Brian Poole34,1000000
Joe Looney73,1000000
Johnathan Hankins90,1000000
Justin Tucker9,1000000
Nick Boyle86,1000000
Cameron Fleming75,1000000
Jake Ryan47,1000000
Chris Reed64,1000000
Craig Robertson52,1000000
Christian Covington,1000000
Jamize Olawale49,1000000
Neville Hewitt46,1000000
Julian Edelman11,1000000
Ronald Darby21,1000000
Dan Bailey5,1000000
Tyrod Taylor5,1000000
Rodney Gunter95,1000000
Malik Jackson97,1000000
Kyle Fuller23,1000000
Kyle Fuller61,1000000
C.J. Mosley57,1000000
Matt Paradis61,1000000
Malcolm Brown34,1000000
Mike Davis27,1000000
Chris Boswell9,1000000
Margus Hunt,1000000
Oday Aboushi76,1000000
Mike Iupati70,1000000
Latavius Murray28,1000000
Casey Kreiter58,1000000
Vonn Bell24,991677
Quincy Wilson31,989207
Hayden Hurst81,981638
Tyler Boyd83,980769
Calvin Ridley18,975487
Spencer Pulley77,975000
Austin Reiter62,975000
Tyus Bowser54,971874
Rashaad Penny20,969338
Terrell Edmunds34,966263
Joe Mixon28,960470
Ryan Anderson52,949066
Taven Bryan90,941589
James Bradberry24,940114
Josh Bellamy15,930000
Taiwan Jones26,930000
Bryan Anger9,930000
Andrew Sendejo34,930000
Adrian Clayborn99,930000
Nick Sundberg57,930000
Jake McQuaide44,930000
Fletcher Cox91,930000
Josh Harris47,930000
Aaron Brewer,930000
Aaron Brewer46,930000
Nick Bellore44,930000
Jon Weeks46,930000
Jason Kelce62,930000
Anthony Sherman42,930000
Mike Hughes21,928522
DeMarcus Walker57,926260
Cody Latimer12,925000
Sony Michel26,917577
Lamar Jackson21,910529
Lamar Jackson8,910529
Foster Moreau87,910000
Darren Fells87,900000
John Miller67,900000
Tyler Larsen69,900000
Ryan Allen9,900000
John Simon55,900000
Bobby Hart68,900000
Shamar Stephen93,900000
Raekwon McMillan52,892049
Dalvin Tomlinson94,880646
Zach Cunningham41,871522
Ethan Pocic77,865821
Chidobe Awuzie24,854417
Tyrann Mathieu32,850000
Chris Banjo31,850000
David Mayo55,850000
Brent Urban92,850000
Josh Hill89,850000
Wil Lutz3,850000
D.J. Fluker78,850000
Denzel Perryman52,850000
Preston Smith91,850000
Neiko Thorpe23,850000
P.J. Williams26,850000
Josh Jones26,849856
Josh Jones79,849856
JuJu Smith-Schuster19,846434
Dion Dawkins73,845294
Taylor Moton72,843014
Tanoh Kpassagnon92,832838
Maxx Crosby98,822500
Austin Corbett63,821745
Larry Ogunjobi65,820200
Jonathan Bullard90,820000
James Winchester41,820000
Will Hernandez71,818670
Nick Chubb24,815595
Ahkello Witherspoon23,815375
Dawuane Smoot94,812500
Justice Hill43,812500
Dru Samia73,812500
Cooper Kupp18,811000
Pat Elflein65,809500
Darius Leonard53,809446
Alvin Kamara41,807500
