,Rank,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,OWN,Year,PlayerID
181,45,33,42,2.0,1,0,0,0,0,16,100.9,6.3,16.1%,2019,Davon Godchaux56
182,31,0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.6%,2013,Chris Wormley93
183,385,0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.6%,2014,Chris Wormley93
184,376,0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.6%,2015,Chris Wormley93
185,340,0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.6%,2016,Chris Wormley93
186,257,5,0,0.0,0,0,0,0,0,7,7.5,1.1,1.6%,2017,Chris Wormley93
187,158,13,3,1.0,5,0,0,0,0,16,38.4,2.4,1.6%,2018,Chris Wormley93
188,133,17,16,1.5,2,0,0,0,0,16,51.9,3.2,1.6%,2019,Chris Wormley93
189,32,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Caleb Brantley99
190,384,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Caleb Brantley99
191,369,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Caleb Brantley99
192,357,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Caleb Brantley99
193,146,12,6,2.0,0,0,0,1,0,12,45.2,3.8,0.0%,2017,Caleb Brantley99
194,270,1,0,0.0,0,0,0,0,0,7,1.5,0.2,0.0%,2018,Caleb Brantley99
195,332,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,2019,Caleb Brantley99
196,33,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Taco Charlton96
197,409,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Taco Charlton96
198,371,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Taco Charlton96
199,335,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Taco Charlton96
200,135,15,4,3.0,1,0,1,0,0,16,51.4,3.2,0.0%,2017,Taco Charlton96
201,126,13,14,1.0,1,0,0,1,0,11,52.2,4.7,0.0%,2018,Taco Charlton96
202,108,14,7,5.0,0,0,2,0,0,11,61.9,5.6,0.0%,2019,Taco Charlton96
203,34,0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.5%,2013,Jordan Willis60
204,338,0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.5%,2014,Jordan Willis60
205,383,0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.5%,2015,Jordan Willis60
206,390,0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.5%,2016,Jordan Willis60
207,347,17,8,1.0,0,0,0,0,0,16,0.0,0.0,1.5%,2017,Jordan Willis60
208,351,15,6,1.0,1,0,0,1,0,16,0.0,0.0,1.5%,2018,Jordan Willis60
209,328,4,3,1.0,0,0,1,0,0,10,0.0,0.0,1.5%,2019,Jordan Willis60
210,35,0,0,0.0,0,0,0,0,0,0,0.0,0.0,4.6%,2013,Takkarist McKinley98
211,408,0,0,0.0,0,0,0,0,0,0,0.0,0.0,4.6%,2014,Takkarist McKinley98
212,372,0,0,0.0,0,0,0,0,0,0,0.0,0.0,4.6%,2015,Takkarist McKinley98
213,336,0,0,0.0,0,0,0,0,0,0,0.0,0.0,4.6%,2016,Takkarist McKinley98
214,226,15,5,6.0,1,0,2,1,0,16,16.5,1.0,4.6%,2017,Takkarist McKinley98
215,366,14,7,7.0,0,0,0,0,0,15,0.0,0.0,4.6%,2018,Takkarist McKinley98
216,333,18,11,3.5,0,0,0,0,0,14,0.0,0.0,4.6%,2019,Takkarist McKinley98
217,36,0,0,0.0,0,0,0,0,0,0,0.0,0.0,11.5%,2013,Derek Barnett96
218,402,0,0,0.0,0,0,0,0,0,0,0.0,0.0,11.5%,2014,Derek Barnett96
219,373,0,0,0.0,0,0,0,0,0,0,0.0,0.0,11.5%,2015,Derek Barnett96
220,337,0,0,0.0,0,0,0,0,0,0,0.0,0.0,11.5%,2016,Derek Barnett96
