,Rank,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,OWN,Year,PlayerID
2382,633,0,0,0.0,0,0,0,0,0,0,0.0,0.0,24.6%,2013,Za'Darius Smith55
2383,727,0,0,0.0,0,0,0,0,0,0,0.0,0.0,24.6%,2014,Za'Darius Smith55
2384,637,20,10,5.5,1,0,0,0,0,15,0.0,0.0,24.6%,2015,Za'Darius Smith55
2385,127,10,10,1.0,1,0,1,0,0,13,45.9,3.5,24.6%,2016,Za'Darius Smith55
2386,117,15,9,3.5,1,0,1,0,0,14,55.9,4.0,24.6%,2017,Za'Darius Smith55
2387,59,26,18,8.5,2,0,1,0,0,16,121.3,7.6,24.6%,2018,Za'Darius Smith55
2388,30,41,14,13.5,0,0,1,0,0,16,172.8,10.8,24.6%,2019,Za'Darius Smith55
2389,634,0,0,0.0,0,0,0,0,0,0,0.0,0.0,48.1%,2013,Kwon Alexander56
2390,728,0,0,0.0,0,0,0,0,0,0,0.0,0.0,48.1%,2014,Kwon Alexander56
2391,24,59,34,3.0,9,2,2,1,0,12,185.8,15.5,48.1%,2015,Kwon Alexander56
2392,2,108,37,3.0,7,1,1,1,1,16,272.1,17.0,48.1%,2016,Kwon Alexander56
2393,26,70,27,0.0,4,3,1,0,0,12,171.8,14.3,48.1%,2017,Kwon Alexander56
2394,83,34,11,1.0,2,0,2,0,0,6,87.9,14.7,48.1%,2018,Kwon Alexander56
2395,113,22,12,0.5,4,1,1,0,0,8,64.2,8.0,48.1%,2019,Kwon Alexander56
2396,635,0,0,0.0,0,0,0,0,0,0,0.0,0.0,17.2%,2013,Benardrick McKinney55
2397,722,0,0,0.0,0,0,0,0,0,0,0.0,0.0,17.2%,2014,Benardrick McKinney55
2398,630,35,23,1.0,0,0,0,0,0,14,0.0,0.0,17.2%,2015,Benardrick McKinney55
2399,13,79,50,5.0,2,0,1,0,0,16,209.1,13.1,17.2%,2016,Benardrick McKinney55
2400,32,62,33,3.0,1,0,1,0,0,16,164.8,10.3,17.2%,2017,Benardrick McKinney55
2401,38,64,41,1.5,7,1,1,0,0,16,162.8,10.2,17.2%,2018,Benardrick McKinney55
2402,45,54,47,1.0,3,0,1,2,0,14,147.1,10.5,17.2%,2019,Benardrick McKinney55
2403,636,0,0,0.0,0,0,0,0,0,0,0.0,0.0,3.7%,2013,Denzel Perryman52
2404,729,0,0,0.0,0,0,0,0,0,0,0.0,0.0,3.7%,2014,Denzel Perryman52
2405,61,58,9,2.0,0,0,1,0,0,14,126.7,9.1,3.7%,2015,Denzel Perryman52
2406,55,55,16,2.0,2,1,0,0,0,12,134.4,11.2,3.7%,2016,Denzel Perryman52
2407,118,25,12,0.0,0,0,0,1,0,7,55.3,7.9,3.7%,2017,Denzel Perryman52
2408,99,30,21,0.0,2,1,0,0,0,9,71.3,7.9,3.7%,2018,Denzel Perryman52
2409,69,50,18,0.0,1,1,1,0,0,14,111.9,8.0,3.7%,2019,Denzel Perryman52
2410,638,0,0,0.0,0,0,0,0,0,0,0.0,0.0,16.4%,2013,Preston Smith91
2411,726,0,0,0.0,0,0,0,0,0,0,0.0,0.0,16.4%,2014,Preston Smith91
2412,636,20,10,8.0,4,0,2,1,0,16,0.0,0.0,16.4%,2015,Preston Smith91
2413,80,22,16,4.5,3,1,0,0,0,16,100.0,6.3,16.4%,2016,Preston Smith91
2414,53,31,11,8.0,3,2,1,1,0,16,134.2,8.4,16.4%,2017,Preston Smith91
2415,66,31,21,4.0,3,1,1,1,1,16,114.5,7.2,16.4%,2018,Preston Smith91
2416,38,36,20,12.0,4,1,1,0,0,16,159.9,10.0,16.4%,2019,Preston Smith91
2417,639,0,0,0.0,0,0,0,0,0,0,0.0,0.0,27.1%,2013,Shaq Thompson54
2418,723,0,0,0.0,0,0,0,0,0,0,0.0,0.0,27.1%,2014,Shaq Thompson54
2419,98,30,18,1.0,2,0,0,0,0,14,76.3,5.5,27.1%,2015,Shaq Thompson54
2420,69,39,16,0.0,5,1,0,2,1,14,113.2,8.1,27.1%,2016,Shaq Thompson54
2421,77,37,20,2.0,1,0,0,0,0,14,102.8,7.3,27.1%,2017,Shaq Thompson54
2422,57,48,28,3.5,1,0,1,0,0,14,122.1,8.7,27.1%,2018,Shaq Thompson54
2423,23,75,34,3.0,3,0,0,0,0,14,182.4,13.0,27.1%,2019,Shaq Thompson54
2424,640,0,0,0.0,0,0,0,0,0,0,0.0,0.0,42.9%,2013,Eric Kendricks54
2425,724,0,0,0.0,0,0,0,0,0,0,0.0,0.0,42.9%,2014,Eric Kendricks54
2426,31,72,20,4.0,1,0,0,0,0,14,165.9,11.9,42.9%,2015,Eric Kendricks54
2427,12,70,39,2.5,9,1,1,1,1,15,211.9,14.1,42.9%,2016,Eric Kendricks54
2428,16,67,46,1.0,6,1,0,0,1,16,200.8,12.6,42.9%,2017,Eric Kendricks54
2429,40,63,45,1.0,7,2,1,1,0,14,160.0,11.4,42.9%,2018,Eric Kendricks54
2430,26,70,40,0.5,12,0,2,2,0,15,181.1,12.1,42.9%,2019,Eric Kendricks54
2431,641,0,0,0.0,0,0,0,0,0,0,0.0,0.0,6.7%,2013,Vic Beasley Jr.44
2432,720,0,0,0.0,0,0,0,0,0,0,0.0,0.0,6.7%,2014,Vic Beasley Jr.44
2433,99,20,6,4.0,3,1,2,0,0,16,75.4,4.7,6.7%,2015,Vic Beasley Jr.44
2434,33,32,7,15.5,2,0,6,1,1,16,178.8,11.2,6.7%,2016,Vic Beasley Jr.44
2435,91,23,6,5.0,2,0,1,0,0,14,87.0,6.2,6.7%,2017,Vic Beasley Jr.44
2436,530,16,4,5.0,3,0,0,1,1,16,0.0,0.0,6.7%,2018,Vic Beasley Jr.44
2437,509,28,14,8.0,2,0,2,0,0,16,0.0,0.0,6.7%,2019,Vic Beasley Jr.44
2438,642,0,0,0.0,0,0,0,0,0,0,0.0,0.0,31.3%,2013,Dante Fowler Jr.56
2439,721,0,0,0.0,0,0,0,0,0,0,0.0,0.0,31.3%,2014,Dante Fowler Jr.56
2440,631,0,0,0.0,0,0,0,0,0,0,0.0,0.0,31.3%,2015,Dante Fowler Jr.56
2441,626,23,9,4.0,5,0,0,0,0,16,0.0,0.0,31.3%,2016,Dante Fowler Jr.56
2442,592,18,3,8.0,0,0,2,2,1,16,0.0,0.0,31.3%,2017,Dante Fowler Jr.56
2443,533,22,6,4.0,1,0,2,2,0,15,0.0,0.0,31.3%,2018,Dante Fowler Jr.56
