,year,points_scored_gm,rush_yds_gm,pass_yds_gm,total_yds_gm,points_allowed_gm,rush_yds_allowed_gm,pass_yds_allowed_gm,yds_allowed_gm,TeamID
251,2013.0,27.8,129.1,255.4,384.5,21.1,134.1,239.0,373.1,NE
252,2012.0,34.8,136.5,291.4,427.9,20.7,101.9,271.4,373.2,NE
253,2011.0,32.1,110.2,317.8,428.0,21.4,117.1,293.9,411.1,NE
254,2010.0,32.4,123.3,240.4,363.8,19.6,108.0,258.5,366.5,NE
255,2009.0,26.7,120.1,277.2,397.3,17.8,110.5,209.7,320.2,NE
256,2008.0,25.6,142.4,223.1,365.4,19.3,107.6,201.4,309.0,NE
257,2007.0,36.8,115.6,295.7,411.2,17.1,98.2,190.1,288.3,NE
258,2006.0,24.1,123.1,212.5,335.6,14.8,94.2,200.2,294.4,NE
259,2005.0,23.7,94.5,257.5,352.0,21.1,98.8,231.4,330.2,NE
260,2004.0,27.3,133.4,224.2,357.6,16.2,98.2,212.5,310.8,NE
261,2003.0,21.8,100.4,214.5,314.9,14.9,89.6,202.0,291.6,NE
262,2002.0,23.8,94.2,223.6,317.8,21.6,137.4,198.7,336.1,NE
263,2001.0,23.2,112.1,193.1,305.1,17.0,115.9,218.6,334.5,NE
264,2000.0,17.2,86.9,198.8,285.7,21.1,114.4,220.1,334.6,NE
265,2019.0,25.4,133.3,220.2,353.5,18.9,108.0,233.6,341.6,MIN
266,2018.0,22.5,93.3,252.2,345.6,21.3,113.4,196.2,309.7,MIN
267,2017.0,23.9,122.3,234.6,356.9,15.8,83.6,192.4,275.9,MIN
268,2016.0,20.4,75.3,239.8,315.1,19.2,106.9,207.9,314.9,MIN
269,2015.0,22.8,138.2,183.0,321.2,18.9,109.2,234.9,344.2,MIN
270,2014.0,20.3,112.8,202.8,315.5,21.4,121.4,223.2,344.7,MIN
271,2013.0,24.4,130.1,214.2,344.2,30.0,110.4,287.2,397.6,MIN
272,2012.0,23.7,164.6,171.9,336.6,21.8,105.8,244.2,350.0,MIN
273,2011.0,21.2,144.9,184.8,329.7,28.1,107.0,251.2,358.2,MIN
274,2010.0,17.6,121.4,193.6,314.9,21.8,102.2,210.4,312.6,MIN
275,2009.0,29.4,119.9,259.8,379.6,19.5,87.1,218.4,305.5,MIN
276,2008.0,23.7,146.1,184.8,330.9,20.8,76.9,215.6,292.4,MIN
277,2007.0,22.8,164.6,171.6,336.2,19.4,74.1,264.1,338.1,MIN
278,2006.0,17.6,113.8,195.2,308.9,20.4,61.6,238.6,300.2,MIN
279,2005.0,19.1,91.7,196.6,288.3,21.5,115.1,208.2,323.3,MIN
280,2004.0,25.3,113.9,282.2,396.2,24.7,125.4,243.5,368.9,MIN
281,2003.0,26.0,146.4,246.9,393.4,22.1,117.4,217.3,334.8,MIN
282,2002.0,24.4,156.7,230.3,387.0,27.6,104.1,256.4,360.6,MIN
283,2001.0,18.1,100.6,223.5,324.1,24.4,143.7,210.4,354.1,MIN
284,2000.0,24.8,133.1,239.5,372.6,23.2,111.8,244.6,356.3,MIN
285,2019.0,21.3,103.1,243.8,346.8,26.4,115.9,284.4,400.4,DET
286,2018.0,20.2,103.8,223.5,327.2,22.5,110.1,224.9,335.0,DET
287,2017.0,25.6,76.3,261.4,337.8,23.5,112.5,243.2,355.8,DET
288,2016.0,21.6,81.9,256.9,338.8,22.4,106.3,248.4,354.8,DET
289,2015.0,22.4,83.4,263.2,346.7,25.0,113.0,236.6,349.6,DET
290,2014.0,20.1,88.9,251.9,340.8,17.6,69.3,231.6,300.9,DET
291,2013.0,24.7,112.0,280.1,392.1,23.5,99.8,246.9,346.6,DET
292,2012.0,23.2,100.8,307.9,408.8,27.3,118.1,223.1,341.1,DET
293,2011.0,29.6,95.2,300.9,396.1,24.2,128.1,239.4,367.6,DET
294,2010.0,22.6,100.8,238.1,338.9,23.1,124.9,218.6,343.6,DET
295,2009.0,16.4,101.0,198.0,299.0,30.9,126.6,265.6,392.1,DET
296,2008.0,16.8,83.2,185.0,268.2,32.3,172.1,232.2,404.4,DET
297,2007.0,21.6,80.5,242.4,322.9,27.8,119.4,258.2,377.6,DET
298,2006.0,19.1,70.6,238.8,309.3,24.9,125.6,220.0,345.6,DET
299,2005.0,15.9,91.9,178.0,269.9,21.6,127.5,194.9,322.4,DET
300,2004.0,18.5,111.1,182.2,293.3,21.9,117.9,219.6,337.6,DET
301,2003.0,16.9,83.6,182.8,266.4,23.7,111.4,223.6,335.0,DET
302,2002.0,19.1,92.3,187.1,279.4,28.2,122.9,259.4,382.3,DET
303,2001.0,16.9,87.4,224.8,312.1,26.5,124.6,220.5,345.1,DET
304,2000.0,19.2,109.2,167.2,276.4,19.2,113.9,200.6,314.6,DET
305,2019.0,23.5,112.2,233.3,345.5,19.6,120.1,232.6,352.6,GB
306,2018.0,23.5,104.2,264.9,369.1,25.0,119.9,234.5,354.4,GB
307,2017.0,20.0,107.8,197.9,305.7,24.0,112.1,236.8,348.9,GB
308,2016.0,27.0,106.3,262.4,368.8,24.2,94.7,269.2,363.9,GB
309,2015.0,23.0,115.6,218.9,334.6,20.2,119.1,227.6,346.7,GB
310,2014.0,30.4,119.8,266.3,386.1,21.8,119.9,226.4,346.4,GB
311,2013.0,26.1,133.5,266.8,400.2,26.8,125.0,247.2,372.2,GB
312,2012.0,27.1,106.4,253.1,359.4,21.0,118.5,218.2,336.8,GB
313,2011.0,35.0,97.4,307.8,405.1,22.4,111.8,299.8,411.6,GB
314,2010.0,24.2,100.4,257.8,358.1,15.0,114.9,194.2,309.1,GB
315,2009.0,28.8,117.8,261.2,379.1,18.6,83.3,201.1,284.4,GB
316,2008.0,26.2,112.8,238.3,351.1,23.8,131.6,202.8,334.3,GB
317,2007.0,27.2,99.8,270.9,370.7,18.2,102.9,210.4,313.3,GB
318,2006.0,18.8,103.9,237.2,341.1,22.9,114.1,206.8,320.9,GB
319,2005.0,18.6,84.5,235.4,319.9,21.5,125.6,167.5,293.1,GB
