,Rank,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,OWN,Year,PlayerID
254,596,0,0,0.0,0,0,0,0,0,0,0.0,0.0,3.6%,2018,Jaylon Johnson1
255,596,0,0,0.0,0,0,0,0,0,0,0.0,0.0,3.6%,2019,Jaylon Johnson1
256,168,0,0,0.0,0,0,0,0,0,0,0.0,0.0,2.2%,2013,Jeff Gladney20
257,333,0,0,0.0,0,0,0,0,0,0,0.0,0.0,2.2%,2014,Jeff Gladney20
258,374,0,0,0.0,0,0,0,0,0,0,0.0,0.0,2.2%,2015,Jeff Gladney20
259,677,0,0,0.0,0,0,0,0,0,0,0.0,0.0,2.2%,2016,Jeff Gladney20
260,640,0,0,0.0,0,0,0,0,0,0,0.0,0.0,2.2%,2017,Jeff Gladney20
261,597,0,0,0.0,0,0,0,0,0,0,0.0,0.0,2.2%,2018,Jeff Gladney20
262,597,0,0,0.0,0,0,0,0,0,0,0.0,0.0,2.2%,2019,Jeff Gladney20
263,169,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Lamar Jackson21
264,169,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Lamar Jackson8
265,351,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Lamar Jackson21
266,351,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Lamar Jackson8
267,587,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Lamar Jackson21
268,587,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Lamar Jackson8
269,678,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Lamar Jackson21
270,678,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Lamar Jackson8
271,641,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,Lamar Jackson21
272,641,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,Lamar Jackson8
273,598,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2018,Lamar Jackson21
274,598,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2018,Lamar Jackson8
275,598,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2019,Lamar Jackson21
276,598,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2019,Lamar Jackson8
277,170,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Cameron Dantzler27
278,324,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Cameron Dantzler27
279,532,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Cameron Dantzler27
280,679,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Cameron Dantzler27
281,642,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,Cameron Dantzler27
282,599,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2018,Cameron Dantzler27
283,599,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2019,Cameron Dantzler27
284,171,0,0,0.0,0,0,0,0,0,0,0.0,0.0,5.8%,2013,A.J. Terrell24
285,340,0,0,0.0,0,0,0,0,0,0,0.0,0.0,5.8%,2014,A.J. Terrell24
286,658,0,0,0.0,0,0,0,0,0,0,0.0,0.0,5.8%,2015,A.J. Terrell24
287,680,0,0,0.0,0,0,0,0,0,0,0.0,0.0,5.8%,2016,A.J. Terrell24
288,643,0,0,0.0,0,0,0,0,0,0,0.0,0.0,5.8%,2017,A.J. Terrell24
289,593,0,0,0.0,0,0,0,0,0,0,0.0,0.0,5.8%,2018,A.J. Terrell24
290,600,0,0,0.0,0,0,0,0,0,0,0.0,0.0,5.8%,2019,A.J. Terrell24
291,172,0,0,0.0,0,0,0,0,0,0,0.0,0.0,9.4%,2013,CJ Henderson21
292,317,0,0,0.0,0,0,0,0,0,0,0.0,0.0,9.4%,2014,CJ Henderson21
293,724,0,0,0.0,0,0,0,0,0,0,0.0,0.0,9.4%,2015,CJ Henderson21
294,681,0,0,0.0,0,0,0,0,0,0,0.0,0.0,9.4%,2016,CJ Henderson21
295,644,0,0,0.0,0,0,0,0,0,0,0.0,0.0,9.4%,2017,CJ Henderson21
296,600,0,0,0.0,0,0,0,0,0,0,0.0,0.0,9.4%,2018,CJ Henderson21
297,601,0,0,0.0,0,0,0,0,0,0,0.0,0.0,9.4%,2019,CJ Henderson21
298,173,0,0,0.0,0,0,0,0,0,0,0.0,0.0,2.7%,2013,Kristian Fulton1
299,590,0,0,0.0,0,0,0,0,0,0,0.0,0.0,2.7%,2014,Kristian Fulton1
300,725,0,0,0.0,0,0,0,0,0,0,0.0,0.0,2.7%,2015,Kristian Fulton1
301,682,0,0,0.0,0,0,0,0,0,0,0.0,0.0,2.7%,2016,Kristian Fulton1
302,645,0,0,0.0,0,0,0,0,0,0,0.0,0.0,2.7%,2017,Kristian Fulton1
303,601,0,0,0.0,0,0,0,0,0,0,0.0,0.0,2.7%,2018,Kristian Fulton1
304,602,0,0,0.0,0,0,0,0,0,0,0.0,0.0,2.7%,2019,Kristian Fulton1
305,174,0,0,0.0,0,0,0,0,0,0,0.0,0.0,17.5%,2013,Jeff Okudah1
306,524,0,0,0.0,0,0,0,0,0,0,0.0,0.0,17.5%,2014,Jeff Okudah1
307,726,0,0,0.0,0,0,0,0,0,0,0.0,0.0,17.5%,2015,Jeff Okudah1
308,674,0,0,0.0,0,0,0,0,0,0,0.0,0.0,17.5%,2016,Jeff Okudah1
309,646,0,0,0.0,0,0,0,0,0,0,0.0,0.0,17.5%,2017,Jeff Okudah1
