,Rank,REC,REC_TGT,REC_YDS,REC_Y/R,REC_LG,REC_20+,REC_TD,RUSH_ATT,RUSH_YDS,RUSH_TD,FL,G,FPTS,FPTS/G,OWN,Year,PlayerID
93,73,27,63,440,16.3,47,10,3,0,0,0,0,16,62.0,3.9,10.6%,2015,Kenny Stills12
94,27,42,81,726,17.3,74,10,9,0,0,0,0,16,126.6,7.9,10.6%,2016,Kenny Stills12
95,26,58,105,847,14.6,61,14,6,0,0,0,2,16,116.7,7.3,10.6%,2017,Kenny Stills12
96,45,37,64,553,14.9,75,7,6,0,0,0,0,15,97.4,6.5,10.6%,2018,Kenny Stills12
97,57,40,55,561,14.0,45,9,4,0,0,0,0,13,80.1,6.2,10.6%,2019,Kenny Stills12
98,60,40,85,587,14.7,57,9,3,2,16,0,0,14,120.3,8.6,95.4%,2013,Robert Woods17
99,45,65,104,699,10.8,37,11,5,0,0,0,1,16,164.9,10.3,95.4%,2014,Robert Woods17
100,65,47,80,552,11.7,37,5,3,1,0,0,1,14,71.2,5.1,95.4%,2015,Robert Woods17
101,72,51,76,613,12.0,34,10,1,1,6,0,0,13,67.9,5.2,95.4%,2016,Robert Woods17
102,33,56,85,781,13.9,94,12,5,2,12,0,1,12,107.3,8.9,95.4%,2017,Robert Woods17
103,10,86,131,1219,14.2,39,20,6,19,157,1,0,16,179.6,11.2,95.4%,2018,Robert Woods17
104,22,90,139,1134,12.6,48,14,2,17,115,1,0,15,142.9,9.5,95.4%,2019,Robert Woods17
105,64,41,60,580,14.1,81,9,2,1,7,0,1,5,111.7,22.3,99.9%,2013,Julio Jones11
106,6,104,163,1593,15.3,79,31,6,1,1,0,1,15,297.4,19.8,99.9%,2014,Julio Jones11
107,2,136,203,1871,13.8,70,25,8,0,0,0,1,16,239.1,14.9,99.9%,2015,Julio Jones11
108,6,83,129,1409,17.0,75,27,6,0,0,0,0,14,176.9,12.6,99.9%,2016,Julio Jones11
109,6,88,148,1444,16.4,53,23,3,1,15,0,0,16,163.9,10.2,99.9%,2017,Julio Jones11
110,5,113,170,1677,14.8,58,24,8,2,12,0,2,16,212.8,13.3,99.9%,2018,Julio Jones11
111,5,99,157,1394,14.1,54,21,6,2,-3,0,0,15,175.1,11.7,99.9%,2019,Julio Jones11
112,67,31,47,433,14.0,48,6,4,4,78,0,0,6,106.1,17.7,11.1%,2013,Randall Cobb18
113,8,91,127,1287,14.1,70,24,12,11,37,0,2,16,293.4,18.3,11.1%,2014,Randall Cobb18
114,28,79,129,829,10.5,53,11,6,13,50,0,0,16,129.9,8.1,11.1%,2015,Randall Cobb18
115,57,60,84,610,10.2,47,7,4,10,33,0,0,13,88.3,6.8,11.1%,2016,Randall Cobb18
116,41,66,92,653,9.9,46,7,4,9,17,0,0,15,93.4,6.2,11.1%,2017,Randall Cobb18
117,91,38,61,383,10.1,75,4,2,0,0,0,1,9,48.4,5.4,11.1%,2018,Randall Cobb18
118,47,55,83,828,15.1,59,15,3,3,11,0,1,15,99.9,6.7,11.1%,2019,Randall Cobb18
119,70,43,76,471,11.0,34,3,2,0,0,0,0,16,102.1,6.4,0.0%,2013,Andre Roberts18
