,GP,TD_RUSH,TD_REC,TD_RET,TD,SCORING_FG,SCORING_PAT,SCORING_2PT,SCORING_PTS,SCORING_TP/G,PlayerID
262,14,0,7,0,7,0,0,0,42,3.0,Terry McLaurin17
263,16,1,4,1,6,0,0,0,36,2.3,Steven Sims Jr.15
264,15,5,0,0,5,0,0,0,30,2.0,Adrian Peterson26
265,5,2,1,0,3,0,0,0,18,3.6,Derrius Guice29
266,12,0,1,0,1,0,0,1,8,0.7,Trey Quinn18
267,10,1,0,0,1,0,0,0,6,0.6,Case Keenum8
268,16,0,1,0,1,0,0,0,6,0.4,Jeremy Sprinkle87
269,11,0,1,0,1,0,0,0,6,0.5,Hale Hentges88
270,16,0,0,0,0,23,27,0,96,6.0,Eddy Pineiro15
271,16,0,7,0,7,0,0,0,42,2.6,Allen Robinson II12
272,16,6,1,0,7,0,0,0,42,2.6,David Montgomery32
273,16,0,3,0,3,0,0,0,18,1.1,Tarik Cohen29
274,16,0,2,0,2,0,0,0,12,0.8,Anthony Miller17
275,15,2,0,0,2,0,0,0,12,0.8,Mitchell Trubisky10
276,11,0,1,0,1,0,0,0,6,0.5,Ben Braunecker82
277,16,0,0,1,1,0,0,0,6,0.4,Cordarrelle Patterson84
278,6,0,1,0,1,0,0,0,6,1.0,Jesper Horsted49
279,16,0,0,1,1,0,0,0,6,0.4,Ha Ha Clinton-Dix27
280,16,0,1,0,1,0,0,0,6,0.4,Javon Wims83
281,16,0,0,0,0,0,0,0,2,0.1,Nick Kwiatkoski44
282,8,0,0,0,0,0,0,1,2,0.3,Adam Shaheen87
283,16,0,0,0,0,26,35,0,113,7.1,Matt Prater5
284,16,0,11,0,11,0,0,0,66,4.1,Kenny Golladay19
285,13,0,9,0,9,0,0,0,54,4.2,Marvin Jones Jr.11
286,8,3,1,0,4,0,0,0,24,3.0,Kerryon Johnson33
287,12,0,2,0,2,0,0,0,12,1.0,T.J. Hockenson88
288,1,2,0,0,2,0,0,0,12,12.0,Wes Hills36
289,13,0,0,2,2,0,0,0,12,0.9,Jamal Agnew39
290,3,1,0,0,1,0,0,0,6,2.0,Jeff Driskel9
291,15,0,1,0,1,0,0,0,6,0.4,Danny Amendola80
292,16,0,1,0,1,0,0,0,6,0.4,J.D. McKissic41
293,16,0,1,0,1,0,0,0,6,0.4,Logan Thomas82
294,5,0,1,0,1,0,0,0,6,1.2,David Blough10
295,16,0,0,1,1,0,0,0,6,0.4,Devon Kennard42
296,9,0,1,0,1,0,0,0,6,0.7,Marvin Hall17
297,6,1,0,0,1,0,0,0,6,1.0,Bo Scarbrough43
298,16,16,3,0,19,0,0,0,114,7.1,Aaron Jones33
299,16,0,0,0,0,22,40,0,106,6.6,Mason Crosby2
300,14,1,5,0,6,0,0,0,36,2.6,Jamaal Williams30
301,12,0,5,0,5,0,0,1,32,2.7,Davante Adams17
302,16,0,3,0,3,0,0,0,18,1.1,Jimmy Graham80
303,16,0,3,0,3,0,0,0,18,1.1,Allen Lazard13
304,16,0,2,0,2,0,0,1,14,0.9,Geronimo Allison81
305,16,0,2,0,2,0,0,0,12,0.8,Marquez Valdes-Scantling83
306,16,1,0,0,1,0,0,1,8,0.5,Aaron Rodgers12
307,16,0,1,0,1,0,0,0,6,0.4,Marcedes Lewis89
308,11,0,1,0,1,0,0,0,6,0.5,Robert Tonyan85
309,14,0,1,0,1,0,0,0,6,0.4,Jake Kumerow16
310,16,0,0,0,0,27,40,0,121,7.6,Dan Bailey5
311,14,13,0,0,13,0,0,0,78,5.6,Dalvin Cook33
312,10,1,6,0,7,0,0,0,42,4.2,Adam Thielen19
313,16,0,6,0,6,0,0,1,38,2.4,Kyle Rudolph82
314,15,0,6,0,6,0,0,0,36,2.4,Stefon Diggs14
315,16,0,3,0,3,0,0,0,18,1.1,Bisi Johnson81
316,16,3,0,0,3,0,0,0,18,1.1,Mike Boone23
317,16,0,2,0,2,0,0,0,12,0.8,Irv Smith Jr.84
318,15,1,0,0,1,0,0,0,6,0.4,Kirk Cousins8
319,14,0,0,1,1,0,0,0,6,0.4,Anthony Harris41
320,16,0,1,0,1,0,0,0,6,0.4,C.J. Ham30
321,16,0,0,1,1,0,0,0,6,0.4,Ifeadi Odenigbo95
322,13,1,0,0,1,0,0,0,6,0.5,Alexander Mattison25
323,13,0,1,0,1,0,0,0,6,0.5,Laquon Treadwell80
324,16,0,1,0,1,0,0,0,6,0.4,Ameer Abdullah31
325,14,0,0,0,0,0,0,0,2,0.1,Anthony Barr55
326,8,0,0,0,0,23,15,0,84,10.5,Younghoe Koo7
327,13,0,7,0,7,0,0,1,44,3.4,Calvin Ridley18
328,13,0,6,0,6,0,0,1,38,2.9,Austin Hooper81
329,15,0,6,0,6,0,0,0,36,2.4,Julio Jones11
330,8,4,0,0,4,0,0,0,24,3.0,Qadree Ollison30
331,12,2,1,0,3,0,0,0,18,1.5,Brian Hill23
332,10,0,1,1,2,0,0,0,12,1.2,Olamide Zaccheaus17
333,16,0,0,1,1,0,0,0,6,0.4,Deion Jones45
334,7,1,0,0,1,0,0,0,6,0.9,Ito Smith25
335,16,0,1,0,1,0,0,0,6,0.4,Jaeden Graham87
336,16,0,1,0,1,0,0,0,6,0.4,Russell Gage83
337,15,1,0,0,1,0,0,0,6,0.4,Matt Ryan2
338,13,0,1,0,1,0,0,0,6,0.5,Ty Sambrailo74
339,16,15,4,0,19,0,0,1,116,7.3,Christian McCaffrey22
340,16,0,0,0,0,25,31,0,106,6.6,Joey Slye4
341,16,1,6,0,7,0,0,0,42,2.6,Curtis Samuel10
342,15,0,4,0,4,0,0,0,24,1.6,DJ Moore12
343,13,2,0,0,2,0,0,0,12,0.9,Kyle Allen10
344,14,0,2,0,2,0,0,0,12,0.9,Greg Olsen88
345,16,0,0,1,1,0,0,0,6,0.4,Brian Burns53
346,16,0,1,0,1,0,0,0,6,0.4,Ian Thomas80
347,16,1,0,0,1,0,0,0,6,0.4,Reggie Bonnafon39
348,16,1,0,0,1,0,0,0,6,0.4,Alex Armah40
349,13,0,0,0,0,0,0,0,2,0.2,Bruce Irvin51
350,16,0,0,0,0,32,48,0,144,9.0,Wil Lutz3
351,16,0,9,0,9,0,0,0,54,3.4,Michael Thomas31
352,16,0,9,0,9,0,0,0,54,3.4,Michael Thomas13
353,14,0,9,0,9,0,0,0,54,3.9,Jared Cook87
354,16,1,6,0,7,0,0,0,42,2.6,Taysom Hill7
355,14,5,1,0,6,0,0,0,36,2.6,Alvin Kamara41
356,16,5,1,0,6,0,0,0,36,2.3,Latavius Murray28
357,11,0,5,0,5,0,0,0,30,2.7,Tre'Quan Smith10
358,16,0,3,0,3,0,0,0,18,1.1,Josh Hill89
359,16,0,2,0,2,0,0,0,12,0.8,Ted Ginn Jr.19
360,11,1,0,0,1,0,0,0,6,0.5,Drew Brees9
361,13,0,0,1,1,0,0,0,6,0.5,Vonn Bell24
362,15,0,0,1,1,0,0,0,6,0.4,A.J. Klein53
363,15,0,0,1,1,0,0,0,6,0.4,Marcus Williams43
364,14,0,0,1,1,0,0,0,6,0.4,Deonte Harris11
365,16,0,0,0,0,27,43,0,124,7.8,Matt Gay9
366,14,0,9,0,9,0,0,1,56,4.0,Chris Godwin14
367,13,0,8,0,8,0,0,1,50,3.8,Mike Evans13
368,16,6,1,0,7,0,0,1,44,2.8,Peyton Barber25
369,14,0,6,0,6,0,0,0,36,2.6,Breshad Perriman19
370,16,6,0,0,6,0,0,0,36,2.3,Ronald Jones II27
371,16,0,4,0,4,0,0,0,24,1.5,Cameron Brate84
372,16,0,2,0,2,0,0,0,12,0.8,Justin Watson17
373,16,0,0,2,2,0,0,0,12,0.8,Ndamukong Suh93
374,13,0,0,2,2,0,0,0,12,0.9,Devin White45
375,16,2,0,0,2,0,0,0,12,0.8,Dare Ogunbowale44
376,16,1,0,0,1,0,0,2,10,0.6,Jameis Winston
377,14,0,1,0,1,0,0,0,6,0.4,O.J. Howard80
378,10,0,1,0,1,0,0,0,6,0.6,Scotty Miller10
379,16,0,1,0,1,0,0,0,6,0.4,Vita Vea50
380,9,0,0,1,1,0,0,0,6,0.7,Vernon Hargreaves III28
381,16,0,0,1,1,0,0,0,6,0.4,Sean Murphy-Bunting23
382,16,0,0,0,0,31,34,0,127,7.9,Zane Gonzalez5
383,8,8,0,0,8,0,0,1,50,6.3,Kenyan Drake41
384,13,2,4,0,6,0,0,0,36,2.8,David Johnson31
385,13,4,1,0,5,0,0,0,30,2.3,Chase Edmonds29
386,16,0,4,0,4,0,0,0,24,1.5,Larry Fitzgerald11
387,16,4,0,0,4,0,0,0,24,1.5,Kyler Murray1
388,13,0,3,0,3,0,0,1,20,1.5,Christian Kirk13
389,3,0,2,0,2,0,0,0,12,4.0,Dan Arnold82
390,10,0,1,0,1,0,0,1,8,0.8,KeeSean Johnson19
391,11,0,1,0,1,0,0,0,6,0.5,Damiere Byrd14
392,16,0,1,0,1,0,0,0,6,0.4,Maxx Williams87
393,15,0,1,0,1,0,0,0,6,0.4,Andy Isabella89
394,12,0,1,0,1,0,0,0,6,0.5,Pharoh Cooper14
395,16,0,0,0,0,24,42,0,114,7.1,Greg Zuerlein2
396,15,12,2,0,14,0,0,1,86,5.7,Todd Gurley II21
397,16,0,10,0,10,0,0,0,60,3.8,Cooper Kupp18
398,14,5,0,0,5,0,0,0,30,2.1,Malcolm Brown34
399,15,1,2,0,3,0,0,0,18,1.2,Robert Woods17
400,15,0,3,0,3,0,0,0,18,1.2,Tyler Higbee89
401,13,0,2,0,2,0,0,0,12,0.9,Gerald Everett81
402,16,2,0,0,2,0,0,0,12,0.8,Jared Goff16
403,14,0,2,0,2,0,0,0,12,0.9,Brandin Cooks12
404,16,0,1,0,1,0,0,0,6,0.4,Josh Reynolds83
405,12,0,0,1,1,0,0,0,6,0.5,Darious Williams31
