,Name,"('Unnamed: 0_level_0', 'GP')","('Kickoffs', 'ATT')","('Kickoffs', 'YDS')","('Kickoffs', 'AVG')","('Kickoffs', 'LNG')","('Kickoffs', 'TD')","('Punts', 'ATT')","('Punts', 'YDS')","('Punts', 'AVG')","('Punts', 'LNG')","('Punts', 'TD')","('Punts', 'FC')",class,team
1,DeAndrew White WR,6,8,174,21.8,31,0,10,82,8.2,39,0,7,Returning,Panthers
2,DeAndrew White WR,2,5,119,23.8,32,0,4,28,7.0,11,0,1,Returning,Panthers
3,DeAndrew White WR,16,6,111,18.5,35,0,0,0,0.0,0,0,0,Returning,Panthers
4,DeAndrew White WR,8,1,26,26.0,26,0,1,0,0.0,0,0,1,Returning,Panthers
5,DeAndrew White WR,7,1,21,21.0,21,0,4,20,5.0,8,0,3,Returning,Panthers
6,DeAndrew White WR,15,0,0,0.0,0,0,5,41,8.2,16,0,4,Returning,Panthers
0,Deonte Harris WR,14,24,644,26.8,51,0,36,338,9.4,53,1,11,Returning,Saints
1,Deonte Harris WR,16,1,12,12.0,12,0,0,0,0.0,0,0,0,Returning,Saints
2,Deonte Harris WR,16,1,12,12.0,12,0,0,0,0.0,0,0,0,Returning,Saints
3,Deonte Harris WR,2,1,8,8.0,8,0,0,0,0.0,0,0,0,Returning,Saints
4,Deonte Harris WR,14,0,0,0.0,0,0,4,30,7.5,27,0,1,Returning,Saints
0,T.J. Logan RB,12,13,271,20.8,39,0,13,124,9.5,40,0,2,Returning,Buccaneers
1,T.J. Logan RB,16,12,223,18.6,26,0,0,0,0.0,0,0,0,Returning,Buccaneers
2,T.J. Logan RB,16,0,0,0.0,0,0,2,3,1.5,7,0,5,Returning,Buccaneers
3,T.J. Logan RB,1,0,0,0.0,0,0,2,3,1.5,2,0,2,Returning,Buccaneers
4,T.J. Logan RB,6,0,0,0.0,0,0,15,42,2.8,11,0,5,Returning,Buccaneers
0,Pharoh Cooper WR,12,25,561,22.4,39,0,17,129,7.6,29,0,14,Returning,Cardinals
1,Pharoh Cooper WR,15,5,105,21.0,32,0,0,0,0.0,0,0,0,Returning,Cardinals
2,Pharoh Cooper WR,11,4,59,14.8,23,0,0,0,0.0,0,0,0,Returning,Cardinals
3,Pharoh Cooper WR,13,1,24,24.0,24,0,0,0,0.0,0,0,0,Returning,Cardinals
4,Pharoh Cooper WR,16,1,15,15.0,15,0,0,0,0.0,0,0,0,Returning,Cardinals
0,JoJo Natson WR,12,13,289,22.2,30,0,19,149,7.8,35,0,20,Returning,Rams
1,JoJo Natson WR,13,3,58,19.3,23,0,0,0,0.0,0,0,0,Returning,Rams
2,JoJo Natson WR,5,2,57,28.5,30,0,7,18,2.6,14,0,6,Returning,Rams
0,Richie James Jr. WR,16,20,428,21.4,81,0,33,264,8.0,32,0,11,Returning,49ers
0,Tyler Lockett WR,16,14,279,19.9,33,0,13,66,5.1,20,0,10,Returning,Seahawks
1,Tyler Lockett WR,16,5,109,21.8,29,0,0,0,0.0,0,0,0,Returning,Seahawks
2,Tyler Lockett WR,10,3,44,14.7,21,0,0,0,0.0,0,0,0,Returning,Seahawks
