Rank,Name,Salary
977.0,Joel Heath93,720000
977.0,Anthony Zettel92,720000
977.0,Tyrell Adams50,720000
977.0,Kamu Grugier-Hill54,720000
977.0,Ted Karras75,720000
977.0,Tyler Ervin32,720000
977.0,Stephen Weatherly91,720000
977.0,Rick Lovato45,720000
977.0,Hassan Ridgeway98,720000
977.0,Pharoh Cooper14,720000
977.0,Ameer Abdullah31,720000
977.0,T.J. Green24,720000
977.0,Damien Wilson54,720000
977.0,Andy Janovich32,720000
977.0,Trevor Davis,720000
977.0,Tyler Matakevich44,720000
977.0,DeForest Buckner99,720000
977.0,Derek Watt34,720000
977.0,Sharrod Neasman41,720000
977.0,Maurice Canady28,720000
977.0,LeShaun Sims38,720000
977.0,Riley Dixon9,720000
977.0,Andrew Adams26,720000
977.0,Mike Thomas80,720000
977.0,DeAndre Houston-Carson36,720000
977.0,Carson Wentz11,720000
977.0,Dwayne Washington24,720000
977.0,Kameron Canaday57,720000
977.0,C.J. Goodwin29,720000
977.0,Joe Dahl66,720000
977.0,Jayron Kearse27,720000
977.0,Darius Jennings11,720000
977.0,Senorise Perry,720000
977.0,Clayton Fejedelem42,720000
977.0,Damiere Byrd14,720000
977.0,Cody Core17,720000
977.0,Jihad Ward53,720000
977.0,Jakeem Grant19,720000
977.0,Darian Thompson23,720000
977.0,DeAndre Washington24,720000
977.0,Josh Andrews63,720000
977.0,B.J. Goodson93,720000
977.0,Darren Waller83,720000
977.0,Danny Vitale45,720000
977.0,Luke Rhodes46,720000
977.0,Joey Bosa97,720000
977.0,Romeo Okwara95,720000
977.0,MyCole Pruitt85,720000
977.0,Patrick Scales48,720000
977.0,Deon Bush26,720000
977.0,John Wetzel75,720000
977.0,Ibraheim Campbell,720000
977.0,Jeff Driskel9,720000
977.0,Kavon Frazier,720000
