,Name,PlayerID,Height,Height Percentile,Weight,Weight Percentile,Forty Yard Dash,Forty Yard Dash Percentile,Shuttle Time,Shuttle TIme Percentile,Cone Drill,Cone Drill Percentile,Vertical Jump,Vertical Jump Percentile,Broad Jump,Broad Jump Percentile,Bench Press,Bench Press Percentile,Hand Length,Hand Length Percentil,Arm Length,Arm Length Percentile
6693,Steve Schilling,7632,"6' 5""",70%,312 lbs,47%,5.29 sec,56%,4.62 sec,80%,7.73 sec,83%,25.5 in,40%,98 in,40%,30 reps,80%,9.63 in,30%,32.75 in,20%
6707,Jerrod Johnson,7646,"6' 5""",80%,251 lbs,95%,4.75 sec,65%,NaN,NaN,NaN,NaN,29.0 in,25%,119 in,90%,NaN,NaN,9.88 in,60%,34.88 in,99%
6723,Jamar Newsome,7662,"6' 1""",40%,201 lbs,45%,4.51 sec,47%,4.22 sec,53%,6.83 sec,62%,38.5 in,87%,129 in,92%,13 reps,30%,9.00 in,20%,32.88 in,67%
6724,Scott Tolzien,7663,"6' 2""",30%,215 lbs,20%,4.92 sec,30%,4.12 sec,87%,NaN,NaN,29.5 in,30%,116 in,83%,NaN,NaN,10.00 in,70%,30.50 in,7%
6727,Matt Asiata,7666,"6' 0""",80%,219 lbs,67%,4.77 sec,9%,4.37 sec,30%,NaN,NaN,30.0 in,9%,104 in,1%,22 reps,65%,9.50 in,70%,30.13 in,20%
6737,Dane Sanzenbacher,7676,"5' 11""",20%,184 lbs,13%,4.56 sec,30%,3.97 sec,95%,6.46 sec,95%,33.5 in,30%,118 in,40%,NaN,NaN,8.25 in,8%,30.50 in,9%
6754,David Gilreath,7693,"5' 9""",8%,170 lbs,5%,4.42 sec,78%,4.21 sec,55%,6.58 sec,92%,33.5 in,30%,116 in,25%,6 reps,3%,NaN,NaN,NaN,NaN
6767,Brandon Bair,7706,"6' 6""",90%,290 lbs,92%,4.92 sec,26%,4.37 sec,65%,7.07 sec,80%,28.0 in,9%,114 in,47%,26 reps,70%,NaN,NaN,NaN,NaN
6786,Steve Williams,7725,"5' 10""",20%,185 lbs,18%,4.42 sec,73%,4.10 sec,64%,6.89 sec,37%,40.5 in,91%,128 in,85%,12 reps,20%,NaN,NaN,NaN,NaN
6791,Lorenzo Washington,7730,"6' 4""",50%,291 lbs,93%,5.21 sec,0%,4.68 sec,17%,7.40 sec,18%,30.0 in,20%,107 in,13%,25 reps,60%,NaN,NaN,NaN,NaN
6805,Nate Williams,7744,"6' 0""",35%,217 lbs,82%,4.68 sec,14%,4.15 sec,67%,6.98 sec,52%,30.5 in,7%,114 in,17%,17 reps,50%,NaN,NaN,NaN,NaN
6829,Sunny Harris,7768,"6' 5""",70%,300 lbs,97%,4.88 sec,35%,4.87 sec,5%,8.18 sec,0%,25.5 in,3%,106 in,10%,28 reps,80%,NaN,NaN,NaN,NaN
6833,Niles Brinkley,7772,"5' 10""",20%,190 lbs,40%,4.54 sec,28%,NaN,NaN,7.23 sec,4%,33.5 in,20%,120 in,40%,15 reps,50%,NaN,NaN,NaN,NaN
6835,Cortez Allen,7774,"6' 1""",70%,197 lbs,70%,4.50 sec,43%,4.01 sec,85%,6.76 sec,66%,35.5 in,50%,129 in,90%,18 reps,80%,NaN,NaN,NaN,NaN
6839,John Graves,7778,"6' 3""",20%,286 lbs,90%,5.00 sec,10%,4.49 sec,37%,7.49 sec,9%,28.5 in,10%,114 in,47%,29 reps,83%,NaN,NaN,NaN,NaN
6865,Ian Williams,7804,"6' 1""",10%,305 lbs,50%,5.21 sec,28%,4.78 sec,20%,NaN,NaN,28.5 in,45%,98 in,10%,31 reps,70%,NaN,NaN,NaN,NaN
6866,Sealver Siliga,7805,"6' 2""",20%,345 lbs,94%,5.38 sec,9%,4.75 sec,30%,7.70 sec,27%,29.0 in,50%,100 in,20%,29 reps,55%,NaN,NaN,NaN,NaN
6867,Demarcus Dobbs,7806,"6' 2""",10%,282 lbs,86%,4.87 sec,38%,4.37 sec,65%,7.22 sec,39%,31.0 in,30%,107 in,13%,NaN,NaN,9.75 in,30%,34.00 in,60%
6874,Michael Johnson,7813,"6' 0""",7%,254 lbs,91%,4.62 sec,75%,4.32 sec,45%,7.04 sec,68%,33.0 in,40%,114 in,40%,15 reps,7%,NaN,NaN,NaN,NaN
6875,Mike Morgan,7814,"6' 3""",70%,235 lbs,20%,4.46 sec,96%,4.43 sec,19%,6.96 sec,80%,34.5 in,57%,128 in,94%,27 reps,80%,NaN,NaN,NaN,NaN
6901,Kendric Burney,7840,"5' 9""",10%,186 lbs,20%,4.71 sec,4%,NaN,NaN,NaN,NaN,32.5 in,13%,112 in,7%,14 reps,40%,NaN,NaN,NaN,NaN
6914,Jay Ross,7853,"6' 3""",40%,302 lbs,40%,5.10 sec,47%,4.64 sec,52%,7.83 sec,19%,32.0 in,80%,100 in,20%,30 reps,60%,NaN,NaN,NaN,NaN
6922,Colby Whitlock,7861,"6' 2""",20%,302 lbs,40%,5.27 sec,20%,4.75 sec,30%,7.73 sec,25%,30.5 in,70%,105 in,50%,25 reps,25%,NaN,NaN,NaN,NaN
