,Name,Height,Height Percentile,Weight,Weight Percentile,Forty Yard Dash,Forty Yard Dash Percentile,Shuttle Time,Shuttle TIme Percentile,Cone Drill,Cone Drill Percentile,Vertical Jump,Vertical Jump Percentile,Broad Jump,Broad Jump Percentile,Bench Press,Bench Press Percentile,Hand Length,Hand Length Percentil,Arm Length,Arm Length Percentile
11832,Nick DeLuca,"6' 2""",50%,251 lbs,88%,4.85 sec,21%,4.23 sec,68%,7.09 sec,58%,29.5 in,9%,112 in,25%,18 reps,15%,10.25 in,90%,32.75 in,53%
11834,Mason Cole,"6' 5""",90%,292 lbs,8%,5.23 sec,52%,NaN,NaN,NaN,NaN,25.0 in,15%,NaN,NaN,23 reps,25%,9.68 in,61%,32.13 in,25%
11835,Garret Dooley,"6' 2""",50%,227 lbs,8%,4.80 sec,28%,4.28 sec,60%,NaN,NaN,33.0 in,40%,121 in,80%,21 reps,40%,10.25 in,90%,32.50 in,47%
11836,Scott Quessenberry,"6' 3""",30%,310 lbs,80%,5.10 sec,82%,NaN,NaN,NaN,NaN,33.5 in,96%,NaN,NaN,25 reps,35%,9.75 in,63%,31.75 in,16%
11837,Wyatt Teller,"6' 4""",40%,315 lbs,55%,5.24 sec,66%,NaN,NaN,NaN,NaN,29.0 in,75%,NaN,NaN,30 reps,80%,10.25 in,80%,34.00 in,70%
11838,Kemoko Turay,"6' 5""",70%,253 lbs,15%,4.65 sec,87%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.68 in,27%,33.38 in,40%
11839,Tyquan Lewis,"6' 3""",40%,269 lbs,5%,NaN,NaN,NaN,NaN,NaN,NaN,35.5 in,96%,122 in,100%,NaN,NaN,10.38 in,85%,33.00 in,36%
11840,Cole Madison,"6' 5""",70%,308 lbs,30%,5.34 sec,45%,NaN,NaN,NaN,NaN,28.5 in,70%,97 in,35%,26 reps,55%,10.38 in,90%,32.25 in,8%
11842,Tyrell Crosby,"6' 4""",10%,309 lbs,33%,5.23 sec,58%,NaN,NaN,NaN,NaN,30.0 in,80%,105 in,63%,17 reps,8%,10.75 in,85%,35.25 in,75%
11843,Will Hernandez,"6' 2""",10%,327 lbs,82%,5.15 sec,78%,NaN,NaN,NaN,NaN,24.0 in,20%,NaN,NaN,37 reps,93%,9.88 in,50%,32.00 in,4%
11844,Chukwuma Okorafor,"6' 6""",60%,320 lbs,72%,5.31 sec,40%,NaN,NaN,NaN,NaN,23.5 in,10%,102 in,50%,19 reps,10%,10.25 in,60%,34.50 in,60%
11845,Sean Welsh,"6' 3""",20%,296 lbs,4%,5.40 sec,30%,NaN,NaN,NaN,NaN,25.0 in,35%,NaN,NaN,20 reps,10%,10.25 in,80%,32.00 in,4%
11849,Michael Gallup,"6' 1""",40%,198 lbs,40%,4.51 sec,47%,4.37 sec,20%,6.95 sec,40%,36.0 in,60%,122 in,65%,10 reps,10%,9.25 in,50%,31.50 in,30%
