,Name,Height,Height Percentile,Weight,Weight Percentile,Forty Yard Dash,Forty Yard Dash Percentile,Shuttle Time,Shuttle TIme Percentile,Cone Drill,Cone Drill Percentile,Vertical Jump,Vertical Jump Percentile,Broad Jump,Broad Jump Percentile,Bench Press,Bench Press Percentile,Hand Length,Hand Length Percentil,Arm Length,Arm Length Percentile
8745,Demetri Goodson,"5' 11""",50%,197 lbs,70%,4.52 sec,35%,4.34 sec,14%,6.80 sec,57%,37.0 in,70%,123 in,60%,11 reps,15%,NaN,NaN,NaN,NaN
8746,Trey Millard,"6' 2""",70%,247 lbs,60%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.13 in,10%,31.00 in,7%
8747,Tom Savage,"6' 4""",70%,230 lbs,73%,4.97 sec,19%,4.36 sec,50%,7.33 sec,11%,27.0 in,13%,105 in,20%,NaN,NaN,9.63 in,50%,31.63 in,28%
8749,Khairi Fortt,"6' 2""",50%,240 lbs,40%,4.70 sec,52%,NaN,NaN,NaN,NaN,36.0 in,70%,120 in,75%,30 reps,91%,NaN,NaN,NaN,NaN
8751,Brett Hundley,"6' 3""",60%,226 lbs,63%,4.63 sec,84%,3.98 sec,99%,6.93 sec,81%,36.0 in,92%,120 in,91%,NaN,NaN,10.50 in,90%,32.13 in,45%
8754,Cooper Helfet,"6' 3""",10%,240 lbs,9%,4.71 sec,62%,4.22 sec,85%,6.82 sec,98%,32.0 in,40%,119 in,80%,24 reps,80%,NaN,NaN,NaN,NaN
8755,Phillip Gaines,"6' 0""",65%,193 lbs,55%,4.38 sec,87%,4.04 sec,81%,6.62 sec,88%,36.5 in,65%,122 in,55%,11 reps,15%,NaN,NaN,NaN,NaN
8757,Kevin Pierre-Louis,"6' 0""",7%,231 lbs,12%,4.51 sec,92%,4.02 sec,95%,6.92 sec,86%,39.0 in,90%,128 in,94%,28 reps,85%,10.13 in,85%,32.25 in,40%
8780,Jeremy Butler,"6' 2""",60%,213 lbs,75%,4.60 sec,15%,NaN,NaN,7.19 sec,8%,36.0 in,60%,114 in,10%,15 reps,50%,NaN,NaN,NaN,NaN
8796,Arceto Clark,"5' 10""",10%,180 lbs,9%,4.58 sec,20%,4.27 sec,38%,6.66 sec,88%,33.0 in,20%,110 in,6%,16 reps,60%,NaN,NaN,NaN,NaN
8798,Brandon Jones,"6' 1""",70%,195 lbs,63%,4.42 sec,73%,4.10 sec,64%,NaN,NaN,37.0 in,70%,114 in,10%,NaN,NaN,NaN,NaN,NaN,NaN
8811,Jimmy Staten,"6' 4""",50%,304 lbs,99%,NaN,NaN,NaN,NaN,NaN,NaN,27.0 in,6%,94 in,0%,30 reps,85%,NaN,NaN,NaN,NaN
8817,Eric Pinkins,"6' 3""",70%,230 lbs,10%,4.44 sec,97%,4.31 sec,48%,7.02 sec,71%,39.5 in,91%,126 in,92%,25 reps,70%,NaN,NaN,NaN,NaN
8825,Kiero Small,"5' 8""",0%,247 lbs,60%,4.89 sec,15%,4.55 sec,21%,7.25 sec,26%,25.0 in,0%,102 in,5%,23 reps,50%,NaN,NaN,NaN,NaN
8841,Justin Jones,"6' 8""",100%,277 lbs,96%,4.90 sec,16%,4.60 sec,9%,6.88 sec,96%,37.0 in,88%,113 in,40%,22 reps,60%,NaN,NaN,NaN,NaN
8854,L'Damian Washington,"6' 4""",90%,200 lbs,43%,4.46 sec,67%,4.35 sec,24%,7.19 sec,8%,32.0 in,13%,115 in,20%,8 reps,7%,9.00 in,20%,33.38 in,83%
8943,Austin Johnson,"6' 2""",70%,240 lbs,23%,5.32 sec,0%,4.75 sec,0%,7.84 sec,0%,26.0 in,1%,96 in,0%,25 reps,63%,9.88 in,90%,32.75 in,73%
8980,Phil Bates,"6' 1""",40%,220 lbs,87%,4.48 sec,60%,4.39 sec,17%,6.87 sec,55%,40.5 in,94%,128 in,91%,19 reps,80%,NaN,NaN,NaN,NaN
8981,Rashaun Allen,"6' 4""",30%,250 lbs,37%,4.68 sec,70%,4.52 sec,23%,7.35 sec,21%,38.0 in,91%,115 in,60%,24 reps,80%,NaN,NaN,NaN,NaN
8982,Horace Miller,"6' 0""",7%,237 lbs,30%,4.44 sec,97%,4.25 sec,65%,6.99 sec,76%,37.5 in,83%,130 in,96%,21 reps,40%,NaN,NaN,NaN,NaN
8983,Brock Coyle,"6' 2""",50%,245 lbs,70%,4.60 sec,80%,4.28 sec,60%,6.74 sec,98%,37.0 in,80%,115 in,45%,25 reps,70%,NaN,NaN,NaN,NaN
8984,Andru Pulu,"6' 1""",10%,322 lbs,85%,5.15 sec,36%,4.86 sec,11%,8.30 sec,0%,28.0 in,40%,102 in,27%,28 reps,50%,NaN,NaN,NaN,NaN
9021,Shawn Loiseau,"6' 0""",7%,239 lbs,37%,4.74 sec,42%,NaN,NaN,NaN,NaN,32.5 in,35%,109 in,10%,19 reps,20%,NaN,NaN,NaN,NaN
9045,Marcus Williams,"5' 11""",50%,196 lbs,67%,4.56 sec,24%,4.20 sec,40%,6.85 sec,44%,43.5 in,97%,129 in,90%,14 reps,40%,9.50 in,80%,32.50 in,87%
9057,Dominique Hamilton,"6' 5""",90%,315 lbs,77%,5.45 sec,7%,4.78 sec,20%,7.82 sec,20%,NaN,NaN,NaN,NaN,31 reps,70%,NaN,NaN,NaN,NaN
9067,Jaelen Strong,"6' 2""",60%,220 lbs,87%,4.44 sec,72%,NaN,NaN,NaN,NaN,42.0 in,98%,123 in,70%,NaN,NaN,9.00 in,20%,32.25 in,50%
9072,Trae Waynes,"6' 0""",65%,190 lbs,40%,4.31 sec,95%,4.39 sec,9%,7.06 sec,13%,38.0 in,77%,122 in,55%,19 reps,85%,NaN,NaN,NaN,NaN
9078,Shaq Thompson,"6' 0""",7%,230 lbs,10%,4.64 sec,70%,4.08 sec,92%,6.99 sec,76%,33.5 in,50%,117 in,55%,NaN,NaN,NaN,NaN,NaN,NaN
9079,Dorial Green-Beckham,"6' 5""",93%,237 lbs,98%,4.49 sec,55%,4.45 sec,10%,6.89 sec,52%,33.5 in,30%,119 in,45%,13 reps,30%,9.00 in,20%,32.50 in,57%
9081,Jameis Winston,"6' 4""",70%,231 lbs,77%,4.97 sec,19%,4.36 sec,50%,7.16 sec,34%,28.5 in,20%,103 in,13%,NaN,NaN,9.38 in,30%,32.00 in,40%
9086,Aaron Hester,"6' 1""",70%,205 lbs,91%,4.62 sec,12%,4.33 sec,15%,7.26 sec,3%,29.0 in,1%,112 in,7%,NaN,NaN,NaN,NaN,NaN,NaN
9099,Amari Cooper,"6' 1""",40%,210 lbs,67%,4.42 sec,78%,3.98 sec,94%,6.71 sec,80%,33.0 in,20%,120 in,50%,NaN,NaN,10.00 in,90%,31.50 in,30%
9100,T.J. Yeldon,"6' 1""",90%,223 lbs,75%,4.61 sec,32%,4.22 sec,57%,7.19 sec,13%,36.0 in,70%,117 in,45%,22 reps,65%,9.00 in,30%,31.63 in,78%
9101,Landon Collins,"6' 0""",35%,218 lbs,84%,4.53 sec,63%,4.33 sec,22%,7.38 sec,0%,35.0 in,45%,120 in,50%,NaN,NaN,NaN,NaN,NaN,NaN
9102,Malcom Brown,"6' 2""",20%,320 lbs,83%,4.62 sec,100%,4.15 sec,99%,6.86 sec,100%,34.5 in,94%,117 in,98%,19 reps,6%,10.25 in,70%,32.75 in,32%
9108,Melvin Gordon,"6' 1""",90%,215 lbs,55%,4.52 sec,57%,4.07 sec,91%,7.04 sec,43%,35.0 in,60%,126 in,91%,19 reps,40%,9.75 in,83%,32.38 in,91%
9110,Javorius Allen,"6' 0""",80%,218 lbs,63%,4.53 sec,53%,4.28 sec,42%,6.96 sec,55%,35.5 in,65%,121 in,70%,11 reps,3%,9.38 in,60%,31.75 in,80%
9111,Eddie Goldman,"6' 3""",40%,318 lbs,81%,5.27 sec,20%,4.87 sec,10%,7.62 sec,34%,26.0 in,20%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9112,Jacoby Glenn,"6' 0""",65%,185 lbs,18%,4.64 sec,9%,4.26 sec,26%,6.97 sec,20%,34.0 in,30%,123 in,60%,NaN,NaN,NaN,NaN,NaN,NaN
9113,Breshad Perriman,"6' 2""",60%,215 lbs,80%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.25 in,50%,32.00 in,40%
9118,Marcus Mariota,"6' 4""",70%,222 lbs,45%,4.52 sec,93%,4.11 sec,88%,6.87 sec,85%,36.0 in,92%,121 in,92%,NaN,NaN,9.88 in,60%,32.00 in,40%
9120,Ellis McCarthy,"6' 5""",90%,330 lbs,90%,5.21 sec,28%,5.07 sec,5%,8.16 sec,3%,32.0 in,80%,109 in,80%,24 reps,20%,NaN,NaN,NaN,NaN
9125,Tevin Coleman,"6' 1""",90%,210 lbs,40%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22 reps,65%,8.63 in,10%,32.00 in,85%
9126,Jay Ajayi,"6' 0""",80%,223 lbs,75%,4.57 sec,40%,4.10 sec,88%,7.10 sec,34%,39.0 in,92%,121 in,70%,19 reps,40%,10.00 in,90%,32.00 in,85%
9128,Duke Johnson,"5' 9""",20%,210 lbs,40%,4.54 sec,50%,NaN,NaN,NaN,NaN,33.5 in,35%,121 in,70%,NaN,NaN,9.25 in,50%,30.38 in,35%
9153,Justin Jackson,"6' 1""",10%,230 lbs,10%,4.52 sec,91%,NaN,NaN,NaN,NaN,38.5 in,88%,122 in,83%,13 reps,4%,9.25 in,20%,30.67 in,9%
9159,Tony Washington,"5' 11""",20%,195 lbs,34%,4.99 sec,0%,4.31 sec,32%,7.21 sec,7%,32.5 in,17%,110 in,6%,17 reps,70%,NaN,NaN,NaN,NaN
9170,Ameer Abdullah,"5' 9""",20%,203 lbs,22%,4.60 sec,34%,3.95 sec,99%,6.79 sec,89%,42.5 in,99%,130 in,96%,24 reps,80%,8.63 in,10%,30.00 in,20%
9171,Clive Walford,"6' 4""",30%,252 lbs,43%,4.79 sec,38%,4.57 sec,12%,7.32 sec,22%,35.0 in,75%,120 in,83%,20 reps,40%,10.25 in,80%,34.00 in,80%
9172,Maxx Williams,"6' 4""",30%,252 lbs,43%,4.78 sec,40%,4.37 sec,56%,7.30 sec,23%,34.5 in,70%,117 in,70%,17 reps,15%,10.38 in,85%,33.50 in,63%
9173,Jean Sifrin,"6' 5""",60%,245 lbs,18%,4.84 sec,28%,4.60 sec,9%,7.50 sec,0%,33.0 in,50%,114 in,50%,NaN,NaN,11.00 in,100%,33.38 in,60%
9176,Nelson Agholor,"6' 0""",30%,198 lbs,40%,4.42 sec,78%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12 reps,25%,9.25 in,50%,32.25 in,50%
9177,Stefon Diggs,"6' 0""",30%,191 lbs,26%,4.46 sec,67%,4.32 sec,30%,7.03 sec,27%,35.0 in,50%,115 in,20%,NaN,NaN,10.00 in,90%,31.25 in,23%
9182,Devin Funchess,"6' 4""",90%,225 lbs,92%,4.70 sec,5%,NaN,NaN,NaN,NaN,38.5 in,87%,122 in,65%,17 reps,70%,9.75 in,80%,33.50 in,85%
9191,Todd Gurley,"6' 1""",90%,224 lbs,77%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17 reps,20%,10.00 in,90%,31.50 in,77%
9192,David Johnson,"6' 1""",90%,224 lbs,77%,4.50 sec,65%,4.27 sec,44%,6.82 sec,84%,41.5 in,97%,127 in,92%,25 reps,85%,9.63 in,80%,31.25 in,73%
9193,David Cobb,"5' 11""",60%,229 lbs,86%,4.81 sec,7%,NaN,NaN,NaN,NaN,38.5 in,91%,121 in,70%,17 reps,20%,9.38 in,60%,31.67 in,79%
9194,Jesse James,"6' 7""",95%,261 lbs,80%,4.83 sec,30%,4.50 sec,30%,7.53 sec,0%,37.5 in,90%,121 in,87%,26 reps,87%,9.38 in,13%,33.00 in,30%
9196,DeVante Parker,"6' 3""",80%,216 lbs,81%,4.45 sec,70%,NaN,NaN,NaN,NaN,36.5 in,70%,125 in,80%,17 reps,70%,9.25 in,50%,33.25 in,80%
9205,Tyler Lockett,"5' 10""",10%,182 lbs,10%,4.40 sec,82%,4.07 sec,88%,6.89 sec,52%,35.5 in,55%,121 in,60%,NaN,NaN,8.38 in,9%,30.00 in,7%
9207,Bryce Petty,"6' 3""",60%,230 lbs,73%,4.87 sec,37%,4.13 sec,85%,6.91 sec,83%,34.0 in,83%,121 in,92%,NaN,NaN,10.00 in,70%,31.88 in,35%
9211,Kevin Smith,"6' 0""",30%,218 lbs,84%,4.53 sec,40%,4.49 sec,8%,NaN,NaN,32.0 in,13%,120 in,50%,NaN,NaN,NaN,NaN,NaN,NaN
9212,Randy Gregory,"6' 5""",70%,255 lbs,18%,4.64 sec,89%,NaN,NaN,NaN,NaN,36.5 in,87%,125 in,92%,24 reps,50%,NaN,NaN,NaN,NaN
9218,Brandon Bridge,"6' 4""",70%,229 lbs,70%,4.72 sec,70%,4.37 sec,48%,7.18 sec,30%,33.0 in,70%,110 in,50%,NaN,NaN,9.25 in,20%,34.25 in,93%
9219,Garrett Grayson,"6' 2""",30%,220 lbs,37%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.00 in,70%,30.00 in,0%
9220,Sean Mannion,"6' 6""",90%,230 lbs,73%,5.14 sec,7%,4.39 sec,44%,7.29 sec,14%,31.0 in,50%,105 in,20%,NaN,NaN,9.00 in,7%,33.50 in,85%
9221,Shane Carden,"6' 2""",30%,218 lbs,30%,4.94 sec,25%,4.45 sec,32%,7.17 sec,32%,29.5 in,30%,104 in,17%,NaN,NaN,9.75 in,55%,33.25 in,83%
9224,Connor Halliday,"6' 3""",60%,196 lbs,0%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.38 in,0%,32.13 in,45%
9225,Blake Sims,"5' 11""",60%,218 lbs,63%,4.57 sec,40%,NaN,NaN,NaN,NaN,30.5 in,10%,115 in,35%,NaN,NaN,9.00 in,30%,31.50 in,77%
9226,Bryan Bennett,"6' 2""",30%,211 lbs,10%,4.81 sec,53%,4.20 sec,74%,7.13 sec,40%,37.0 in,94%,125 in,97%,NaN,NaN,9.50 in,40%,31.00 in,15%
9227,Cody Fajardo,"6' 1""",10%,223 lbs,50%,4.63 sec,84%,4.10 sec,90%,6.95 sec,80%,32.5 in,65%,118 in,88%,NaN,NaN,9.50 in,40%,31.38 in,23%
9228,Karlos Williams,"6' 1""",90%,230 lbs,88%,4.48 sec,72%,4.46 sec,13%,7.16 sec,18%,33.5 in,35%,117 in,45%,16 reps,15%,9.75 in,83%,33.00 in,95%
9229,Thomas Rawls,"5' 9""",20%,215 lbs,55%,4.65 sec,22%,NaN,NaN,NaN,NaN,35.5 in,65%,116 in,40%,15 reps,10%,9.25 in,50%,30.75 in,50%
9230,Jeremy Langford,"6' 0""",80%,211 lbs,43%,4.42 sec,86%,4.32 sec,36%,7.22 sec,9%,34.5 in,50%,118 in,50%,NaN,NaN,8.75 in,20%,31.50 in,77%
9231,Cameron Artis-Payne,"5' 10""",50%,215 lbs,55%,4.53 sec,53%,NaN,NaN,7.13 sec,27%,36.5 in,80%,118 in,50%,NaN,NaN,8.88 in,25%,29.67 in,19%
9233,Matt Jones,"6' 2""",93%,239 lbs,92%,4.61 sec,32%,4.20 sec,63%,NaN,NaN,31.5 in,17%,112 in,20%,20 reps,50%,8.63 in,10%,32.00 in,85%
9235,Trey Williams,"5' 7""",5%,200 lbs,17%,4.49 sec,70%,4.12 sec,84%,6.84 sec,81%,33.5 in,35%,119 in,60%,18 reps,30%,8.25 in,3%,29.88 in,19%
9236,Tyler Varga,"5' 11""",60%,225 lbs,78%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23 reps,70%,10.38 in,100%,30.38 in,35%
9238,Josh Robinson,"5' 8""",10%,221 lbs,72%,4.29 sec,97%,3.97 sec,98%,6.55 sec,98%,38.5 in,91%,133 in,99%,17 reps,20%,NaN,NaN,NaN,NaN
9239,Terrence Magee,"5' 9""",20%,220 lbs,70%,NaN,NaN,4.37 sec,30%,7.52 sec,0%,37.0 in,83%,115 in,35%,22 reps,65%,9.00 in,30%,30.00 in,20%
9242,Braylon Heard,"5' 10""",50%,198 lbs,13%,4.63 sec,28%,4.40 sec,20%,7.19 sec,13%,30.5 in,10%,116 in,40%,19 reps,40%,9.00 in,30%,30.25 in,30%
9243,Jahwan Edwards,"5' 9""",20%,220 lbs,70%,4.80 sec,7%,4.50 sec,9%,7.63 sec,0%,35.5 in,65%,117 in,45%,16 reps,15%,8.88 in,25%,31.63 in,78%
9244,Marcus Murphy,"5' 9""",20%,195 lbs,10%,4.61 sec,32%,4.40 sec,20%,NaN,NaN,29.0 in,7%,109 in,9%,11 reps,3%,8.63 in,10%,31.00 in,60%
9245,Ross Scheuerman,"6' 0""",80%,204 lbs,24%,4.62 sec,30%,4.11 sec,86%,7.08 sec,38%,33.0 in,30%,121 in,70%,15 reps,10%,8.75 in,20%,30.00 in,20%
9246,Malcolm Brown,"5' 11""",60%,222 lbs,73%,4.62 sec,30%,4.15 sec,77%,6.86 sec,77%,34.5 in,50%,117 in,45%,19 reps,40%,NaN,NaN,NaN,NaN
9247,Jalston Fowler,"5' 11""",10%,254 lbs,80%,4.94 sec,8%,4.40 sec,50%,7.56 sec,0%,33.5 in,70%,114 in,75%,23 reps,50%,10.50 in,100%,32.75 in,73%
9248,Dee Hart,"5' 7""",5%,199 lbs,15%,4.80 sec,7%,4.38 sec,27%,7.20 sec,12%,33.0 in,30%,113 in,25%,NaN,NaN,9.00 in,30%,29.75 in,19%
9249,Aaron Ripkowski,"6' 1""",30%,246 lbs,50%,4.69 sec,75%,4.33 sec,68%,7.59 sec,0%,33.0 in,60%,113 in,70%,NaN,NaN,NaN,NaN,NaN,NaN
9250,Michael Dyer,"5' 8""",10%,218 lbs,63%,4.58 sec,38%,NaN,NaN,NaN,NaN,34.0 in,40%,120 in,65%,26 reps,90%,9.50 in,70%,30.63 in,45%
9251,Dominique Brown,"6' 2""",93%,234 lbs,91%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17 reps,20%,9.50 in,70%,32.38 in,91%
9252,Phillip Dorsett,"5' 10""",10%,192 lbs,28%,4.33 sec,93%,4.11 sec,80%,6.70 sec,82%,37.0 in,75%,122 in,65%,13 reps,30%,9.38 in,60%,30.25 in,8%
9253,Devin Smith,"6' 1""",40%,199 lbs,42%,4.42 sec,78%,4.15 sec,70%,NaN,NaN,39.0 in,90%,122 in,65%,10 reps,10%,9.00 in,20%,31.00 in,17%
9254,Chris Conley,"6' 3""",80%,205 lbs,53%,4.35 sec,91%,4.30 sec,33%,7.06 sec,22%,45.0 in,100%,139 in,100%,18 reps,75%,9.88 in,85%,33.75 in,90%
9255,Sammie Coates,"6' 1""",40%,210 lbs,67%,4.43 sec,75%,4.06 sec,90%,6.98 sec,35%,41.0 in,95%,131 in,93%,23 reps,94%,9.38 in,60%,33.38 in,83%
9256,Rashad Greene,"5' 11""",20%,186 lbs,17%,4.53 sec,40%,4.12 sec,78%,6.88 sec,53%,36.5 in,70%,122 in,65%,NaN,NaN,9.00 in,20%,31.63 in,33%
9257,Vince Mayle,"6' 2""",0%,247 lbs,25%,4.67 sec,72%,4.13 sec,93%,6.93 sec,94%,35.5 in,80%,117 in,70%,NaN,NaN,9.00 in,6%,31.75 in,5%
9258,Tre McBride,"6' 0""",30%,210 lbs,67%,4.41 sec,80%,4.08 sec,86%,6.96 sec,38%,38.0 in,83%,122 in,65%,16 reps,60%,9.00 in,20%,32.13 in,45%
9259,Darren Waller,"6' 6""",80%,255 lbs,55%,4.46 sec,94%,4.25 sec,82%,7.07 sec,82%,37.0 in,88%,125 in,93%,12 reps,7%,NaN,NaN,NaN,NaN
9260,Ty Montgomery,"6' 0""",80%,216 lbs,58%,4.55 sec,47%,4.21 sec,60%,6.97 sec,50%,40.5 in,95%,121 in,70%,NaN,NaN,10.13 in,95%,31.00 in,60%
9261,Antwan Goodley,"5' 10""",10%,212 lbs,73%,4.44 sec,72%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.25 in,50%,30.75 in,10%
9262,Titus Davis,"6' 1""",40%,200 lbs,43%,4.51 sec,47%,4.28 sec,37%,7.14 sec,9%,32.5 in,17%,119 in,45%,NaN,NaN,8.25 in,8%,29.63 in,6%
9263,Kenny Bell,"6' 1""",40%,188 lbs,20%,4.42 sec,78%,4.15 sec,70%,6.66 sec,88%,41.5 in,96%,129 in,92%,7 reps,5%,9.25 in,50%,31.63 in,33%
9264,Dres Anderson,"6' 2""",60%,190 lbs,24%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13 reps,30%,9.38 in,60%,31.63 in,33%
9265,Dezmin Lewis,"6' 4""",90%,214 lbs,78%,4.58 sec,20%,4.28 sec,37%,7.11 sec,12%,33.5 in,30%,119 in,45%,16 reps,60%,9.88 in,85%,32.50 in,57%
9268,Jamison Crowder,"5' 9""",8%,177 lbs,8%,4.56 sec,30%,4.32 sec,30%,7.17 sec,8%,37.0 in,75%,115 in,20%,10 reps,10%,8.75 in,15%,30.38 in,9%
9270,Mario Alford,"5' 8""",6%,177 lbs,8%,4.43 sec,75%,4.07 sec,88%,6.64 sec,90%,34.0 in,35%,121 in,60%,13 reps,30%,9.38 in,60%,31.25 in,23%
9271,Tony Lippett,"6' 3""",97%,192 lbs,50%,4.61 sec,14%,4.13 sec,57%,6.92 sec,33%,36.0 in,60%,114 in,10%,10 reps,10%,9.88 in,92%,32.75 in,91%
9272,Justin Hardy,"5' 10""",10%,192 lbs,28%,4.56 sec,30%,4.21 sec,55%,6.63 sec,91%,36.5 in,70%,114 in,10%,11 reps,20%,10.00 in,90%,32.13 in,45%
9273,Josh Harper,"6' 1""",40%,191 lbs,26%,4.64 sec,9%,4.36 sec,22%,7.15 sec,9%,32.0 in,13%,108 in,3%,13 reps,30%,8.75 in,15%,30.88 in,13%
9274,Devante Davis,"6' 3""",80%,220 lbs,87%,4.57 sec,25%,4.12 sec,78%,7.25 sec,6%,35.5 in,55%,115 in,20%,16 reps,60%,9.50 in,70%,32.38 in,53%
9275,Rannell Hall,"6' 0""",30%,200 lbs,43%,4.60 sec,15%,4.15 sec,70%,6.86 sec,57%,41.0 in,95%,132 in,94%,16 reps,60%,8.63 in,13%,30.50 in,9%
9276,DeAndre Smelter,"6' 2""",60%,227 lbs,93%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.00 in,100%,32.63 in,60%
9280,Bud Sasser,"6' 2""",60%,210 lbs,67%,4.53 sec,40%,4.31 sec,32%,6.86 sec,57%,34.5 in,40%,121 in,60%,18 reps,75%,NaN,NaN,NaN,NaN
9281,Deon Long,"6' 0""",30%,192 lbs,28%,4.51 sec,47%,4.27 sec,38%,6.98 sec,35%,34.0 in,35%,120 in,50%,12 reps,25%,9.50 in,70%,31.00 in,17%
9285,Kaelin Clay,"5' 10""",10%,195 lbs,34%,4.51 sec,47%,4.26 sec,40%,6.97 sec,37%,33.0 in,20%,113 in,9%,10 reps,10%,9.00 in,20%,30.88 in,13%
9286,DaVaris Daniels,"6' 1""",40%,201 lbs,45%,4.62 sec,10%,NaN,NaN,NaN,NaN,37.0 in,75%,122 in,65%,13 reps,30%,9.00 in,20%,31.25 in,23%
9287,DeAndrew White,"6' 0""",30%,195 lbs,34%,4.44 sec,72%,4.18 sec,63%,6.97 sec,37%,34.5 in,40%,118 in,40%,NaN,NaN,9.13 in,40%,31.00 in,17%
9288,J.J. Nelson,"5' 10""",10%,160 lbs,0%,4.28 sec,98%,4.15 sec,70%,7.02 sec,28%,36.0 in,60%,127 in,90%,NaN,NaN,8.25 in,8%,31.13 in,20%
9289,Busta Anderson,"6' 4""",30%,246 lbs,20%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.75 in,2%,32.25 in,14%
9290,Jeff Heuerman,"6' 5""",60%,255 lbs,55%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26 reps,87%,10.13 in,70%,33.25 in,55%
9291,Tyler Kroft,"6' 6""",80%,252 lbs,43%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17 reps,15%,9.63 in,30%,33.00 in,30%
9292,Blake Bell,"6' 6""",80%,252 lbs,43%,4.80 sec,36%,4.32 sec,67%,NaN,NaN,33.0 in,50%,116 in,65%,14 reps,8%,NaN,NaN,NaN,NaN
9294,Nick O'Leary,"6' 3""",10%,252 lbs,43%,4.93 sec,10%,4.50 sec,30%,7.40 sec,10%,30.5 in,25%,110 in,20%,21 reps,50%,9.38 in,13%,29.75 in,0%
9295,MyCole Pruitt,"6' 2""",0%,245 lbs,18%,4.58 sec,84%,4.37 sec,56%,7.25 sec,26%,38.0 in,91%,118 in,75%,17 reps,15%,10.25 in,80%,33.50 in,63%
9296,Nick Boyle,"6' 4""",30%,270 lbs,92%,5.04 sec,4%,4.23 sec,84%,7.13 sec,47%,30.5 in,25%,112 in,30%,20 reps,40%,10.38 in,85%,33.38 in,60%
9297,Randall Telfer,"6' 4""",30%,250 lbs,37%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20 reps,40%,9.63 in,30%,33.50 in,63%
9298,Ben Koyack,"6' 5""",60%,258 lbs,67%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9299,Wes Saxton,"6' 4""",30%,235 lbs,6%,4.65 sec,75%,4.49 sec,31%,7.29 sec,24%,36.0 in,83%,119 in,80%,NaN,NaN,9.63 in,30%,32.00 in,10%
9300,Gerald Christian,"6' 3""",10%,250 lbs,37%,4.87 sec,22%,4.70 sec,5%,7.62 sec,0%,NaN,NaN,NaN,NaN,28 reps,91%,10.75 in,97%,32.50 in,18%
9301,Brandon Scherff,"6' 5""",70%,315 lbs,55%,5.05 sec,91%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23 reps,30%,NaN,NaN,NaN,NaN
9302,Andrus Peat,"6' 7""",100%,316 lbs,58%,5.18 sec,74%,4.62 sec,80%,8.01 sec,18%,31.0 in,90%,105 in,75%,NaN,NaN,NaN,NaN,NaN,NaN
9303,D.J. Humphries,"6' 5""",20%,307 lbs,25%,5.12 sec,79%,4.64 sec,75%,7.87 sec,33%,31.0 in,85%,104 in,60%,26 reps,55%,NaN,NaN,NaN,NaN
9305,T.J. Clemmings,"6' 5""",20%,309 lbs,33%,5.14 sec,76%,4.54 sec,88%,7.68 sec,48%,32.5 in,91%,111 in,85%,22 reps,30%,NaN,NaN,NaN,NaN
9306,Cedric Ogbuehi,"6' 5""",20%,308 lbs,30%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23 reps,40%,NaN,NaN,NaN,NaN
9307,Ereck Flowers,"6' 6""",90%,330 lbs,86%,5.31 sec,52%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37 reps,93%,NaN,NaN,NaN,NaN
9308,Cameron Erving,"6' 5""",70%,313 lbs,50%,5.15 sec,78%,4.63 sec,77%,7.48 sec,94%,30.5 in,87%,112 in,94%,30 reps,80%,NaN,NaN,NaN,NaN
9309,Jake Fisher,"6' 6""",80%,268 lbs,91%,5.01 sec,6%,4.33 sec,65%,7.25 sec,26%,32.5 in,45%,NaN,NaN,25 reps,83%,NaN,NaN,NaN,NaN
